,X,Y,Z,RSSI
0,24252.397960884235,-338.3235949730206,749.8,-88.0
1,23950.747068198376,-505.57364085418106,775.4,-87.0
2,23515.597229376977,-740.8192726785377,808.6,-97.0
3,23413.348614616418,-793.6871839560768,816.0000000000001,-86.0
4,23345.869382207773,-828.5582459324888,821.2000000000002,-85.0
5,23244.138823595345,-881.1435980449352,828.8000000000001,-90.0
6,23141.874086624717,-932.1159102515346,835.9999999999999,-107.0
7,23039.48019594231,-983.1583815470494,843.4,-91.0
8,22970.69831389798,-1017.7869193451661,849.0,-107.0
9,22936.316780619873,-1035.5720541944036,851.6000000000001,-88.0
10,22868.600006304187,-1071.5241417496218,856.8000000000002,-87.0
11,22834.73304090253,-1089.0288103026928,859.6,-88.0
12,22766.473240658568,-1124.3246887956989,865.9999999999999,-105.0
13,22732.343747138875,-1141.9723835469508,869.2,-107.0
14,22698.34620037998,-1159.5481551160985,872.2,-87.0
15,22664.348926706716,-1177.1237626477755,875.2,-103.0
16,22595.96519480877,-1213.4391586568188,882.4,-99.0
17,22561.837057741177,-1231.0860453977325,885.6,-104.0
18,22528.622907521516,-1249.1869615252058,889.0,-96.0
19,22494.89538664447,-1267.5676523611112,892.2,-89.0
20,22461.299825808823,-1285.8764281365422,895.2000000000002,-96.0
21,22428.34984822089,-1303.833376508416,898.2,-88.0
22,22394.49147086348,-1322.2853809914334,901.5999999999999,-88.0
23,22360.633368904328,-1340.7372353892615,905.0,-94.0
24,22327.552515054944,-1358.7655081879154,908.1999999999999,-97.0
25,22293.95833411019,-1377.0735319558214,911.2,-91.0
26,22261.40980700013,-1395.7639054897188,914.1999999999999,-94.0
27,22227.684492467026,-1414.1434015555456,917.4000000000001,-94.0
28,22194.47302712398,-1432.2428620076257,920.8,-95.0
29,22161.393516883993,-1450.270410059712,924.0000000000001,-88.0
30,22128.200827157736,-1469.311874636123,926.9999999999999,-94.0
31,22062.30654329368,-1505.2227104839612,933.0,-93.0
32,22029.114692535353,-1524.263747967251,936.0,-97.0
33,21996.168228406867,-1542.2188039622417,939.0,-92.0
34,21962.976940105407,-1561.2595575848793,942.0,-83.0
35,21929.517503624647,-1579.494179144258,944.7999999999998,-82.0
36,21896.05834854366,-1597.7286473477766,947.6000000000001,-84.0
37,21863.244677546645,-1615.6113416055352,950.4,-92.0
38,21795.951014577153,-1653.2371487841222,956.2,-86.0
39,21762.361284001938,-1671.5427852251726,959.2,-89.0
40,21695.959538966974,-1707.7302205771357,964.9999999999999,-99.0
41,21629.045438300538,-1744.1968780535417,970.6000000000001,-92.0
42,21595.325393599458,-1762.573532718713,973.8,-99.0
43,21562.11906577849,-1780.6702234106629,977.1999999999998,-94.0
